2026-02-08 22:24:54 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: chest_0_0.yaml
2026-02-08 22:24:54 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: voyager_0_0.yaml
2026-02-08 22:24:54 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: tree_0_2.yaml
2026-02-08 22:25:05 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: chest_0_0.yaml
2026-02-08 22:25:05 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: voyager_0_0.yaml
2026-02-08 22:25:05 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: tree_0_2.yaml
2026-02-08 22:25:12 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: chest_0_0.yaml
2026-02-08 22:25:12 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: voyager_0_0.yaml
2026-02-08 22:25:12 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: tree_0_2.yaml
2026-02-08 22:25:28 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: chest_0_0.yaml
2026-02-08 22:25:28 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: voyager_0_0.yaml
2026-02-08 22:25:28 | ERROR | dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: tree_0_2.yaml
2026-02-08 22:25:38 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: chest_0_0.yaml
2026-02-08 22:25:38 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: voyager_0_0.yaml
2026-02-08 22:25:38 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: tree_0_2.yaml
2026-02-08 22:25:46 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: chest_0_0.yaml
2026-02-08 22:25:46 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: voyager_0_0.yaml
2026-02-08 22:25:46 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: tree_0_2.yaml
2026-02-08 22:25:54 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: chest_0_0.yaml
2026-02-08 22:25:54 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: voyager_0_0.yaml
2026-02-08 22:25:54 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: tree_0_2.yaml
2026-02-08 22:29:09 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: chest_0_0.yaml
2026-02-08 22:29:09 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: voyager_0_0.yaml
2026-02-08 22:29:09 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: tree_0_2.yaml
2026-02-08 22:29:21 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: chest_0_0.yaml
2026-02-08 22:29:21 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: voyager_0_0.yaml
2026-02-08 22:29:21 | ERROR | src.dgt_core.utils.fix_assets:<module>:61 | ❌ File not found: tree_0_2.yaml
